following,answers_number,last_answers,description,title
0,"
4
","

Nesse mundo onde todos querem se dar bem, sem se importar com o bem estar dos outros, então, é normal não ser ético.

,

Acho um dom maligno, queria ter o mesmo :( Mas eu que sou manipulada..

,

.

","
Claro, manipular mas sem fazer o mal para elas.
","
O que vocês acham de manipular as pessoas para conseguir o que quer?
"
0,"
4
","

acho que era um saparé, ou um jacarapo, já vi um desses também.

,

Alucinaçao

,

Jfjfjfj

","
Galera, uma vez há muitos anos atrás estava chovendo a noite, aí tinha um banco que ficava em frente da minha casa e quando eu fui olhar em baixo do banco eu vi um Sapo enorme ele era maior que minha mão bem aberta!! E o mais estranho de tudo era que ele tinha garras nas patas, era preto e cascudo (parecia até um jacaré) que espécie seria essa?? Já pesquisei e nunca achei nada sobre nenhuma espécie de sapo assim.
","
Existe alguma espécie de sapo que tenha garras?
"
0,"
5
","

As tartarugas podem viver entre 50 e 80 anos, em média, dependendo da espécie, como o jabuti-piranga (tipo terrestre mais conhecido do Brasil) e a tartaruga marinha, respectivamente. Alguns répteis originários das Ilhas Galápagos (no Oceano Pacífico), por exemplo, podem chegar até os 170 anos.

,

mais de 150

,

Máximo 200 anos

,

MAIS DE 8 MIL!!!!

,

Na prática de 80 a 100 e infelizmente as de cativeiro vivem mais por estarem protegidas lá no Projeto TAMAR.

","
","
Quantos anos vive uma tartaruga marinha?
"
0,"
4
","

....

,

2 PONTOS

☆┌─┐　─┐☆

│▒│ /▒/

│▒│/▒/

│▒ /▒/─┬─┐

│▒│▒|▒│▒│

┌┴─┴─┐-┘─┘

│▒┌──┘▒▒▒│

└┐▒▒▒▒▒▒┌┘

└┐▒▒▒▒┌

,

2 PONTOS

☆┌─┐　─┐☆

│▒│ /▒/

│▒│/▒/

│▒ /▒/─┬─┐

│▒│▒|▒│▒│

┌┴─┴─┐-┘─┘

│▒┌──┘▒▒▒│

└┐▒▒▒▒▒▒┌┘

└┐▒▒▒▒┌

,

aqui em minas gerais, tem um mercado no centro de Belo horizonte, que vende d tudo, veja se tem aí.

","
","
Vocês sabem algum lugar em Curitiba para comprar iguana?
"
0,"
4
","

Seu desejo devia ser amar alguém e casar para ter uma família direita e cristã, obedecer a Deus e não transar feito cachorro ou qualquer outro bicho. Você é ser humano Filho de Deus e não
gato, cachorro, cavalo e afins, se liga. Sorte.

,

sair com duas velhas de 70 e 80 anos.

,

Fazer sexo a 3, homens e mulheres

","
Qual é o de vocês o meu é fazer com duas gêmeas ao mesmo tempo ainda mas ainda não realizei
","
Qual seu maior desejo sexual?
"
0,"
8
","

Pergunta condicionada e dirigida a um grupo só não é permitido no Yahoo Respostas.

,

Nao foi solidao. Foi amor!!! E viu Deus que tudo era bom,.....e nos criou a imagem e semelhança Dele, somos criados paa termos relacionamento com Ele. Entao por isso que o diao enta tanto acabar com esse relacionamento entre Deus e o homem, Leia o livro de Genesis na Biblia ,

,

Foi o Amor.


Deus nos amou muito antes da criação de todas as coisas.

,

Por que é urgente...

Talvez seja isso.

Pois a bíblia diz também que Deus espera ou quer que todos se salvem. E depois tem registros na bíblia dizendo sobre a salvação, que, interessante, Deus nos deu a vida na Terra, e quando formos salvos, teríamos um lugar no céu.

Veja que No céu onde Ele Deus também está.

Intrigante, não..

,

Não. Deus viu a ele mesmo e sentiu prazer em criar nós, ao qual diz na bíblia, sua semelhança!

É como se ele quisesse compartilhar com a gente, o que ele via nele e nos dar vida para viver conforme viveu um dia.

,

A Bíblia não explica o motivo. Cabe a ti descobrir por meio das orações.

,

Não se sabe

","
Por favor, respostas baseadas na PALAVRA ( Bíblia)
","
URGENTE RESPONDAM - O que levou Deus a criar o Universo, foi solidão?
"
0,"
5
","

Pensando em investir em voçê!? que tal uma profissão q mais cresce e traz renda no Brasil?

Acesse o Link:http://bit.ly/Cursoderetrospectiva

,

tem dinheiro se tem
é otima bviu

,

Eu acho que os pobres não são bem-vindos lá...


Você já viu algum pobre dando testemunho lá?


Se você for rico eu acho que eles vão te receber de bolsos abertos.

,

se você não liga para o seu dinheiro ai pode frequentar

","
","
A igreja universal e uma boa igreja para frequentar?
"
0,"
6
","

Oi maria0cl44, compre na amazônia.

,

Hddhdh

,

Comprei numa Loja aqui perto! Foi Baratin 10 reais

,

Tenho algumas no celeiro. Junto com o feno

,

Não posso comprar uma,mas se você for comprar consulte o departamento de animais local IBAMA e acesse o site jibóias brasil além de pesquisar todos os itens necessários para manter o réptil



Espero ter ajudado

,

Minha mãe me deu...

","
","
Olá, eu gostaria de saber aonde você comprou a sua jiboia?
"
"
1
","
5
","

Sentaria sim.

,

Sim

,

...

,

Sim...

quando você era bebe. seu pai, seu tio e outros homens que te pegaram no colo...

voce sentou no colo deles.

","
","
Você, macho, sentaria no colo do amigo só de zoas?
"
0,"
10
","

Veterinario

,

Olá, boa noite!


Leve ele à um veterinário urgente e fale estes problemas. Por ser um filhote, está vulnerável à muitas doenças, e provavelmente você ainda não o vascinou, então talvez ele esteja com uma virose.


Espero que seu gatinho melhore, abraços!

,

Veja se não é de Pelúcia...

,

Pode ser que a raçao não seja adequada.compre uma de marca ou misture a raçao com água ou leite de modo a ficar um pouco submersa.se ele não faz xixi o melhor é levar ele no veterinário.

,

E Deus está sussurrando: Sabe essa dor, filho? Eu sou maior do que ela. Confie em mim.

Chegai-vos a Deus, e Ele se chegará a vós.

,

O mundo é um lugar perigoso de se viver, não por causa daqueles que fazem o mal, mas sim por causa daqueles que observam e deixam o mal acontecer.

Deixarás de temer quando deixares de ter esperança.

,

Além dos vários fatores de doenças, falta de imunidade e vermes tem o agravante do leite, se for leite de vaca já bagunçou o organismo.

Sem comer precisa do Vet.

,

Não bate nele, toda vez em que ele fizer algo ruim. Você joga um pouco de agua nele haha

,

Mata ele.

,

Kkkk

","
Peguei um gatinho de 2 meses. Levei pra casa e de início ele ficou com medo, mas foi acostumando e brincou um pouco até. Esquentei um pouco de leite e ele tomou um pouquinho e depois dormiu a tarde inteira. De noite dei leite de novo e ele tomou um pouco e a ração não quis nem saber só lambeu. Dormiu a noite inteira e só acordou quando eu acordei. Ele passou o dia inteiro sem defecar, comer ou fazer xixi, só dormiu e brincou. Ele ficava mto perto de mim miando e pedia mto carinho e dormia no meu colo mesmo, no começo achei até ser saudade da mãe e dos irmãos. Na manhã seguinte levei ele no meu vô
(onde a mãe dele e os irmãos estavam) e botei ele na gata pra ver se ele ia mamar ou ate mesmo fazer xixi ali por costume. Mas não, ele não comeu nem fez xixi nem defecou e continuou miando em roda de mim. Percebi que dos irmãos dele, Ele é o mais magrinho. Eu não sei oq faço, me ajudem, pfvr!!
","
Meu gatinho não come e nem faz xixi, oq faço?
"
0,"
5
","

ta e quem vai ficar doando 10 reais a desconhecidos de 10 em 10 vai o salario das pessoas

,

Esmola digital né?

,

ata vo faser isto tambem

,

bom mesmo é levantar a bunda de onde quer q vc esteja, se esforçar e arranjar a ***** de um emprego!!! com todo o respeito é claro

","
","
É uma boa pedir esmola no Yahoo Respostas? Se 100 pessoas doarem 10 reais cada, já se junta 1000 reais.?
"
0,"
4
","

Profundo

,

Com certeza monamur

,

Foi pra vc á indireta

","
","
Não é porque um cavalo nos dá uma patada que a gente corta as 4 pata dele?
"
0,"
7
","

Liga pra mim 4002-8922 e passa seu CEP que eu mando um saco da batata de sua preferência.

,

Me da uma batata? Dogs can become possessed; don't keep dogs inside you home. Walmart has technology to administer mark of the beast to those who have cat bacteria in their stomachs; stay away from cats [Afanasiy Sydyachyj]. Next false flag is the Statue of Liberty. Earth is flat; stands on 3 pillars (the Most Holy Trinity); pillars stand on water at zero Kelvin. Zodiac is planetary prison of demons; don't believe in horoscopes or you'll exhibit the traits of the trapped demons. Most thoughts and dreams are from demons; demons never do good. Sleep fully clothed; pray the Jesus prayer. Pray to your guardian angel to have normal sleep. Vyacheslav Krasheninnikov was the last prophet before Enoch and Elijah return to preach against the antichrist. According to Ruski Orthodox Christian Vyacheslav Krasheninnikov: Humans were created about 7525 years ago.


Birds participate in time creation. It's a sin to kill birds. Dinosaurs live under our level. They will get out through sinkholes and lakes. To kill them, go for their nerves. Save the birds; but kill the dinosaurs. First dinosaur will come out of Volga River in Russia. Demons grow human skin (from a sample taken during abduction) and put it on so as to look like us. Demons will invite people to be healed inside their UFOs; those who go will be like zombies after. Gov't provides demons with diamonds and allows demons to abduct people. If you're being abducted, slowly pray the Jesus prayer.


Don't panic. Demons use diamonds and souls to power their UFO craft. The bigger the diamond, the more it lasts. Demons have 4 UFO bases: 1)Moon 2)Inside fake mountain Kailash in Tibet 3)In lake Baikal in Russia 4)In Atlantis which is underneath the Mariana Trench in Pacific Ocean. There are no aliens. Nobody lives on other planets. Airplanes that go down are hit by demons because they need the airspace to fight Jesus. Antichrist is pale with red eyes. He's possessed by Satan since he's 12 years old. He flies. He wears gloves to hide long nails. He's surrounded by demons who appear as angels of light.


Don't go into a UFO to be healed by demons. 666 is given by isotope rays on wrist or forehead when people stretch hands to receive small plastic grey card with no name on it (World Passport). Police will microchip and isotope ray people on highways. Food stores will isotope ray people too. Antichrist will also release prisoners to mark people. Reject 666 at all cost. If you're about to be marked, pray the Jesus prayer. Hide with Orthodox Christians to escape 666; leave all electronics behind so that antichrist's minions can't track you. Give to charity in the name of Archangel Michael; he rescues people from hell twice a year (or brings them up a level, that is, to a level with less punishment; eventually, people are freed). Feed the pigeons; when pigeons bow down, people are saved from hell. Forgive me.

,

Tenho duas

,

assad

,

Não

,

TE DOU DUAS BEM PELUDAS

,

Vou te dar uma mandioca.

","
Quero uma batata
","
Me da uma batata?
"
